BUS1 BUS2 BUS3 CI G_MAG B_MAG WI1 WI2 WI3 WI_V WI_A ARE OWN NAME BUS4 NAME2
76 77 41519 01 0.000 0.000 1 1 1 1.051530 -25.21491 201 0 TPRETO-SP765-TPRAT1-S 41518 TPRAT1-SP000
76 77 41521 02 0.000 0.000 1 1 1 1.051477 -25.21037 201 0 TPRETO-SP765-TPRAT2-S 41520 TPRAT2-SP000
84 87 42418 01 0.000 0.000 1 1 1 0.977650 -21.51709 255 0 RESEN2-RJ138-RESEND-R 42417 RESEND-RJ000
86 48 0 01 0.000 0.000 1 1 0 0.000000 0.00000 204 0 IBIUNA-SP345-IBIUNASI  
86 122 41523 01 0.000 0.000 1 1 1 1.051845 -30.44282 204 0 IBIUNA-SP345-IBITR1-S 41522 IBITR1-SP000
86 122 41525 02 0.000 0.000 1 1 1 1.051853 -30.44548 204 0 IBIUNA-SP345-IBITR2-S 41524 IBITR2-SP000
86 122 41527 03 0.000 0.000 1 1 1 1.049466 -30.18068 204 0 IBIUNA-SP345-IBITR3-S 41526 IBITR3-SP000
87 42425 42430 01 0.000 0.000 1 1 1 1.007202 -21.63156 251 0 RESEND-RJ500-ARCEL1-R 42426 ARCEL1-RJ000
87 42427 42429 02 0.000 0.000 1 1 1 1.012180 -20.85684 251 0 RESEND-RJ500-ARCEL2-R 42428 ARCEL2-RJ000
90 91 2619 01 0.000 0.000 1 1 1 1.010855 -3.07393 302 0 VIANA--ES345-VIANT1-E 2608 VIANT1-ES000
90 95 2619 02 0.000 0.000 1 1 1 1.010831 -3.07855 302 0 VIANA--ES345-VIANT2-E 2618 VIANT2-ES000
90 96 2619 03 0.000 0.000 1 1 1 1.010672 -3.08901 302 0 VIANA--ES345-VIANT3-E 2628 VIANT3-ES000
90 2619 42442 04 0.000 0.000 1 1 1 1.005018 -3.21702 302 0 VIANA--ES345-VIANT4-E 42441 VIANT4-ES000
99 556 0 01 0.000 0.000 1 1 0 0.000000 0.00000 202 0 AS-AR1-SP500-ASSIS--S  
100 20 0 01 0.000 0.000 1 1 0 0.000000 0.00000 351 0 MARIMB-MG500-MARIMBUH  
100 213 246 09 0.000 0.000 1 1 1 1.008462 -6.14703 351 0 MARIMB-MG500-MARIMB-M 214 MARIMB-MG000
102 120 198 51 0.000 0.000 1 1 1 1.080167 -20.43311 351 0 P.CALD-MG500-PCAT51-M 121 PCAT51-MG000
103 123 196 51 0.000 0.000 1 1 1 1.055652 -28.00706 202 0 CAMPIN-SP500-CAMP51-S 124 CAMP51-SP000
103 123 186 54 0.000 0.000 1 1 1 0.902973 -27.95953 202 0 CAMPIN-SP500-CAMP54-S 176 CAMP54-SP000
104 183 41665 57 0.000 0.000 1 1 1 0.967849 -19.81758 202 0 C.PAUL-SP500-CPAT57-S 41664 CPAT57-SP000
104 183 41667 59 0.000 0.000 1 1 1 0.967803 -19.87578 202 0 C.PAUL-SP500-CPAT59-S 41666 CPAT59-SP000
105 10 0 01 0.000 0.000 1 1 0 0.000000 0.00000 251 0 ANGRA--RJ500-ANGRA1UN  
105 11 0 01 0.000 0.000 1 1 0 0.000000 0.00000 251 0 ANGRA--RJ500-ANGRA2UN  
105 181 42402 58 0.000 0.000 1 1 1 0.950590 -19.02475 251 0 ANGRA--RJ500-ANGRA--R 42401 ANGRA--RJ000
106 140 197 51 0.000 0.000 1 1 1 0.923623 -16.41967 251 0 ADRIAN-RJ500-ADRT51-R 139 ADRT51-RJ000
106 140 195 53 0.000 0.000 1 1 1 0.953406 -15.87343 251 0 ADRIAN-RJ500-ADRT53-R 141 ADRT53-RJ000
106 140 194 55 0.000 0.000 1 1 1 1.057273 -15.97720 251 0 ADRIAN-RJ500-ADRT55-R 142 ADRT55-RJ000
107 42409 44889 56 0.000 0.000 1 1 1 0.887299 -21.05246 251 0 GRAJAU-RJ500-GR1T56-R 42407 GR1T56-RJ000
107 178 42410 58 0.000 0.000 1 1 1 0.890179 -20.84304 251 0 GRAJAU-RJ500-GR1T58-R 42408 GR1T58-RJ000
108 4200 42435 11 0.000 0.000 1 1 1 0.981564 -20.07991 251 0 S.JOSE-RJ500-SJOS11-R 42431 SJOS11-RJ000
108 4200 42436 12 0.000 0.000 1 1 1 0.981337 -20.04187 251 0 S.JOSE-RJ500-SJOS12-R 42432 SJOS12-RJ000
108 169 42437 13 0.000 0.000 1 1 1 1.042980 -19.76072 251 0 S.JOSE-RJ500-SJOS13-R 42433 SJOS13-RJ000
108 169 42438 14 0.000 0.000 1 1 1 0.875176 -19.77949 251 0 S.JOSE-RJ500-SJOS14-R 42434 SJOS14-RJ000
112 895 0 01 0.000 0.000 1 1 0 0.000000 0.00000 101 0 BA-IB1-PR500-BATEIA-P  
113 895 0 02 0.000 0.000 1 1 0 0.000000 0.00000 101 0 BA-IB2-PR500-BATEIA-P  
114 895 0 01 0.000 0.000 1 1 0 0.000000 0.00000 101 0 BA-IT1-PR500-BATEIA-P  
119 218 226 04 0.000 0.000 1 1 1 0.990198 3.42388 512 0 BANDT4-GO013-BANDT4-G 118 BANDT4-GO000
120 165 170 02 0.000 0.000 1 1 1 1.027776 -22.55017 352 0 P.CALD-MG345-PCAT02-M 164 PCAT02-MG000
120 170 42001 01 0.000 0.000 1 1 1 1.022071 -22.39230 352 0 P.CALD-MG345-PCAT01-M 42000 PCAT01-MG000
120 170 42003 03 0.000 0.000 1 1 1 1.022566 -22.50381 352 0 P.CALD-MG345-PCAT03-M 42002 PCAT03-MG000
120 170 42005 04 0.000 0.000 1 1 1 1.024395 -22.48168 352 0 P.CALD-MG345-PCAT04-M 42004 PCAT04-MG000
120 170 42007 05 0.000 0.000 1 1 1 0.957293 -22.29127 352 0 P.CALD-MG345-PCAT05-M 42006 PCAT05-MG000
120 170 42009 06 0.000 0.000 1 1 1 0.956431 -22.29214 352 0 P.CALD-MG345-PCAT06-M 42008 PCAT06-MG000
123 163 171 01 0.000 0.000 1 1 1 1.051659 -29.74309 204 0 CAMPIN-SP345-CAMAT1-S 162 CAMAT1-SP000
123 41500 41508 02 0.000 0.000 1 1 1 0.956765 -29.73835 204 0 CAMPIN-SP345-CAMAT2-S 41504 CAMAT2-SP000
123 41501 41509 03 0.000 0.000 1 1 1 0.981237 -29.82887 204 0 CAMPIN-SP345-CAMAT3-S 41505 CAMAT3-SP000
123 41502 41510 04 0.000 0.000 1 1 1 0.955611 -29.75130 204 0 CAMPIN-SP345-CAMAT4-S 41506 CAMAT4-SP000
123 41503 41511 05 0.000 0.000 1 1 1 0.958592 -29.74360 204 0 CAMPIN-SP345-CAMAT5-S 41507 CAMAT5-SP000
129 161 41661 01 0.000 0.000 1 1 1 1.076671 -31.31655 204 0 MOGI---SP345-MO-FT1-S 41660 MO-FT1-SP000
129 161 41663 02 0.000 0.000 1 1 1 0.900689 -31.30743 204 0 MOGI---SP345-MO-FT2-S 41662 MO-FT2-SP000
131 22 0 01 0.000 0.000 1 1 0 0.000000 0.00000 352 0 M.MORA-MG345-M.MORAUH  
131 187 42023 11 0.000 0.000 1 1 1 0.990614 -8.93410 352 0 M.MORA-MG345-M.MO11-M 42022 M.MO11-MG000
131 187 42025 13 0.000 0.000 1 1 1 1.079004 -8.93468 352 0 M.MORA-MG345-M.MO13-M 42024 M.MO13-MG000
134 12 0 01 0.000 0.000 1 1 0 0.000000 0.00000 204 0 LCBARR-SP345-LCBARRUH  
134 13 0 01 0.000 0.000 1 1 0 0.000000 0.00000 204 0 LCBARR-SP345-LCBARRSI  
136 16 0 01 0.000 0.000 1 1 0 0.000000 0.00000 352 0 FURNAS-MG345-FURNASUH  
136 17 0 01 0.000 0.000 1 1 0 0.000000 0.00000 352 0 FURNAS-MG345-FURNASSI  
140 173 209 11 0.000 0.000 1 1 1 1.036324 -16.46225 252 0 ADRIAN-RJ345-ADRT1A-R 133 ADRT1A-RJ000
140 173 206 22 0.000 0.000 1 1 1 1.006855 -16.46986 252 0 ADRIAN-RJ345-ADRT2B-R 143 ADRT2B-RJ000
140 173 204 12 0.000 0.000 1 1 1 1.036916 -16.46803 252 0 ADRIAN-RJ345-ADRT1B-R 145 ADRT1B-RJ000
140 173 205 21 0.000 0.000 1 1 1 0.914678 -16.46618 252 0 ADRIAN-RJ345-ADRT2A-R 146 ADRT2A-RJ000
144 167 180 11 0.000 0.000 1 1 1 1.055166 -20.55464 252 0 JACARE-RJ345-JACT1A-R 135 JACT1A-RJ000
144 159 180 21 0.000 0.000 1 1 1 1.055159 -20.54889 252 0 JACARE-RJ345-JACT2A-R 137 JACT2A-RJ000
144 160 180 12 0.000 0.000 1 1 1 1.054326 -20.62294 252 0 JACARE-RJ345-JACT1B-R 166 JACT1B-RJ000
144 180 42413 22 0.000 0.000 1 1 1 0.878076 -20.78877 252 0 JACARE-RJ345-JACT2B-R 42411 JACT2B-RJ000
144 180 42414 31 0.000 0.000 1 1 1 0.879092 -20.60621 252 0 JACARE-RJ345-JACT3A-R 42412 JACT3A-RJ000
147 46 0 01 0.000 0.000 1 1 0 0.000000 0.00000 252 0 CAMPOS-RJ345-CAMPO-CE  
147 175 192 01 0.000 0.000 1 1 1 1.008315 -0.52499 252 0 CAMPOS-RJ345-CAMPO1-R 148 CAMPO1-RJ000
147 175 212 02 0.000 0.000 1 1 1 1.007920 -0.55944 252 0 CAMPOS-RJ345-CAMPO2-R 211 CAMPO2-RJ000
147 175 42405 03 0.000 0.000 1 1 1 1.007414 -0.58604 252 0 CAMPOS-RJ345-CAMPO3-R 42403 CAMPO3-RJ000
147 175 42406 04 0.000 0.000 1 1 1 1.007461 -0.58335 252 0 CAMPOS-RJ345-CAMPO4-R 42404 CAMPO4-RJ000
149 41 0 01 0.000 0.000 1 1 0 0.000000 0.00000 302 0 VITORI-ES345-VITOR2SI  
149 47 0 01 0.000 0.000 1 1 0 0.000000 0.00000 302 0 VITORI-ES345-VITORISI  
149 177 199 01 0.000 0.000 1 1 1 0.996474 -6.79918 302 0 VITORI-ES345-VITAT1-E 150 VITAT1-ES000
149 154 42445 02 0.000 0.000 1 1 1 0.997014 -6.77013 302 0 VITORI-ES345-VITAT2-E 152 VITAT2-ES000
149 155 42446 03 0.000 0.000 1 1 1 0.996301 -6.94119 302 0 VITORI-ES345-VITAT3-E 153 VITAT3-ES000
149 156 44301 04 0.000 0.000 1 1 1 0.996034 -6.62452 302 0 VITORI-ES345-VITAT4-E 158 VITAT4-ES000
149 44302 44304 05 0.000 0.000 1 1 1 0.962367 -6.64972 302 0 VITORI-ES345-VITAT5-E 44303 VITAT5-ES000
181 185 0 01 0.000 0.000 1 1 0 0.000000 0.00000 251 0 ANGDEF-RJ138-ANGRA--R  
182 14 0 01 0.000 0.000 1 1 0 0.000000 0.00000 255 0 FUNIL--RJ138-FUNIL-UH  
184 30 0 01 0.000 0.000 1 1 0 0.000000 0.00000 254 0 S.CRUZ-RJ138-SCRU19UT  
184 31 0 01 0.000 0.000 1 1 0 0.000000 0.00000 254 0 S.CRUZ-RJ138-SCRU13UT  
184 32 0 01 0.000 0.000 1 1 0 0.000000 0.00000 254 0 S.CRUZ-RJ138-SCRU16UT  
187 24 0 01 0.000 0.000 1 1 0 0.000000 0.00000 358 0 M.MORA-MG138-M.MORBUH  
187 4365 0 01 0.000 0.000 1 1 0 0.000000 0.00000 358 0 M.MORA-MG138-IBIRAC-M  
187 4369 0 01 0.000 0.000 1 1 0 0.000000 0.00000 358 0 M.MORA-MG138-M.MORA-M  
190 28 0 01 0.000 0.000 1 1 0 0.000000 0.00000 208 0 P.COL--MG138-PCOLOMUH  
201 1760 1761 01 0.000 0.000 1 1 1 1.022533 -2.92715 259 0 UCAMP1-RJ000-RSIL-1UT 200 UCAMP1-RJ000
203 1760 1761 01 0.000 0.000 1 1 1 1.022533 -2.92715 259 0 UCAMP2-RJ000-RSIL-2UT 202 UCAMP2-RJ000
208 221 227 01 0.000 0.000 1 1 1 1.001702 9.21197 563 0 BGERT1-DF013-BGERT1-D 189 BGERT1-DF000
210 18 0 01 0.000 0.000 1 1 0 0.000000 0.00000 351 0 ITUMBI-MG500-ITUMBIUH  
210 19 0 01 0.000 0.000 1 1 0 0.000000 0.00000 351 0 ITUMBI-MG500-ITUMBISI  
210 217 42011 49 0.000 0.000 1 1 1 1.008096 3.22092 351 0 ITUMBI-MG500-ITUM49-M 42010 ITUM49-MG000
210 217 42013 50 0.000 0.000 1 1 1 1.005651 3.09656 351 0 ITUMBI-MG500-ITUM50-M 42012 ITUM50-MG000
210 217 42015 53 0.000 0.000 1 1 1 1.005651 3.09656 351 0 ITUMBI-MG500-ITUM53-M 42014 ITUM53-MG000
216 3112 42231 01 0.000 0.000 1 1 1 1.001299 -5.31746 352 0 P.COL--MG345-PCOL-D-M 42230 PCOL-D-MG000
217 225 42017 01 0.000 0.000 1 1 1 0.984341 3.06742 352 0 ITUMBI-MG345-ITUMB1-M 42016 ITUMB1-MG000
217 225 42019 02 0.000 0.000 1 1 1 0.984341 3.06742 352 0 ITUMBI-MG345-ITUMB2-M 42018 ITUMB2-MG000
217 225 42021 03 0.000 0.000 1 1 1 1.083264 3.05970 352 0 ITUMBI-MG345-ITUMB3-M 42020 ITUMB3-MG000
217 225 42233 04 0.000 0.000 1 1 1 0.984123 3.06726 352 0 ITUMBI-MG345-ITUMB4-M 42232 ITUMB4-MG000
218 226 242 01 0.000 0.000 1 1 1 0.989803 3.32824 512 0 BANDEI-GO345-BANDT1-G 223 BANDT1-GO000
218 226 243 02 0.000 0.000 1 1 1 0.989074 3.14983 512 0 BANDEI-GO345-BANDT2-G 224 BANDT2-GO000
218 226 43508 03 0.000 0.000 1 1 1 0.990281 3.44384 512 0 BANDEI-GO345-BANDT3-G 43507 BANDT3-GO000
218 226 43510 05 0.000 0.000 1 1 1 0.989919 3.35634 512 0 BANDEI-GO345-BANDT5-G 43509 BANDT5-GO000
219 228 232 06 0.000 0.000 1 1 1 1.023784 12.41427 562 0 B.SUL--DF345-BSULT6-D 222 BSULT6-DF000
219 236 245 07 0.000 0.000 1 1 1 0.919077 12.94470 562 0 B.SUL--DF345-BSU-T7-D 244 BSU-T7-DF000
219 236 43626 01 0.000 0.000 1 1 1 1.013993 12.93956 562 0 B.SUL--DF345-BSULT1-D 43625 BSULT1-DF000
219 236 43628 02 0.000 0.000 1 1 1 1.020653 12.97162 562 0 B.SUL--DF345-BSULT2-D 43627 BSULT2-DF000
219 236 43630 04 0.000 0.000 1 1 1 0.989231 13.02455 562 0 B.SUL--DF345-BSULT4-D 43629 BSULT4-DF000
219 236 43632 08 0.000 0.000 1 1 1 1.013991 12.93956 562 0 B.SUL--DF345-BSULT8-D 43631 BSULT8-DF000
219 236 43634 09 0.000 0.000 1 1 1 1.052507 12.95396 562 0 B.SUL--DF345-BSULT9-D 43633 BSULT9-DF000
219 228 43644 03 0.000 0.000 1 1 1 1.023738 12.43198 562 0 B.SUL--DF345-BBSUT3-D 43643 BBSUT3-DF000
219 228 43646 05 0.000 0.000 1 1 1 1.023829 12.39714 562 0 B.SUL--DF345-BBSUT5-D 43645 BBSUT5-DF000
219 228 43648 10 0.000 0.000 1 1 1 1.023364 12.57656 562 0 B.SUL--DF345-BBST10-D 43647 BBST10-DF000
220 35 0 01 0.000 0.000 1 1 0 0.000000 0.00000 512 0 CORUMB-GO345-CORUMBUH  
220 3970 43544 01 0.000 0.000 1 1 1 1.002686 5.05849 512 0 CORUMB-GO345-CORUT1-G 43543 CORUT1-GO000
220 3970 43546 02 0.000 0.000 1 1 1 1.002686 5.05849 512 0 CORUMB-GO345-CORUT2-G 43545 CORUT2-GO000
221 227 43636 02 0.000 0.000 1 1 1 1.001704 9.20754 564 0 B.GERA-DF034-BGERT2-D 43635 BGERT2-DF000
221 227 43638 03 0.000 0.000 1 1 1 1.001741 9.16864 564 0 B.GERA-DF034-BGERT3-D 43637 BGERT3-DF000
221 227 43640 04 0.000 0.000 1 1 1 1.001756 9.22293 564 0 B.GERA-DF034-BGERT4-D 43639 BGERT4-DF000
221 227 43642 05 0.000 0.000 1 1 1 1.001635 9.16487 564 0 B.GERA-DF034-BGERT5-D 43641 BGERT5-DF000
229 7892 0 01 0.000 0.000 1 1 0 0.000000 0.00000 513 0 B.ALTO-GO230-BALTO-CE  
229 2980 43502 01 0.000 0.000 1 1 1 1.032466 7.33032 513 0 B.ALTO-GO230-BALTO1-G 43501 BALTO1-GO000
229 2980 43504 02 0.000 0.000 1 1 1 1.032421 7.32120 513 0 B.ALTO-GO230-BALTO2-G 43503 BALTO2-GO000
229 2980 43506 03 0.000 0.000 1 1 1 1.032553 7.34557 513 0 B.ALTO-GO230-BALTO3-G 43505 BALTO3-GO000
230 235 43512 01 0.000 0.000 1 1 1 0.986834 22.31067 513 0 S.MESA-GO230-SMEST1-G 43511 SMEST1-GO000
230 235 43514 02 0.000 0.000 1 1 1 0.987675 22.39215 513 0 S.MESA-GO230-SMEST2-G 43513 SMEST2-GO000
230 239 43564 04 0.000 0.000 1 1 1 1.007676 20.85241 513 0 S.MESA-GO230-SMEST4-G 43563 SMEST4-GO000
230 239 43566 05 0.000 0.000 1 1 1 1.007676 20.85241 513 0 S.MESA-GO230-SMEST5-G 43565 SMEST5-GO000
230 239 43568 06 0.000 0.000 1 1 1 1.007676 20.85241 513 0 S.MESA-GO230-SMEST6-G 43567 SMEST6-GO000
231 238 241 01 0.000 0.000 1 1 1 1.000899 0.36047 513 0 R.VERD-GO230-RVERT1-G 240 RVERT1-GO000
231 238 3961 02 0.000 0.000 1 1 1 0.992037 0.45426 513 0 R.VERD-GO230-RVERT2-G 3960 RVERT2-GO000
231 238 3973 03 0.000 0.000 1 1 1 0.951751 0.45534 513 0 R.VERD-GO230-RVERT3-G 3971 RVERT3-GO000
233 234 43600 02 0.000 0.000 1 1 1 0.967825 15.00955 561 0 SAMAMB-DF500-SAMAT2-D 43599 SAMAT2-DF000
233 234 43602 03 0.000 0.000 1 1 1 0.967546 15.10691 561 0 SAMAMB-DF500-SAMAT3-D 43601 SAMAT3-DF000
233 234 43604 08 0.000 0.000 1 1 1 0.932753 15.26907 561 0 SAMAMB-DF500-SAMAT8-D 43603 SAMAT8-DF000
233 234 43652 01 0.000 0.000 1 1 1 0.968402 14.52908 561 0 SAMAMB-DF500-SAMAT1-D 43651 SAMAT1-DF000
234 237 43606 04 0.000 0.000 1 1 1 1.048528 14.39270 562 0 SAMAMB-DF345-SAMAT4-D 43605 SAMAT4-DF000
234 237 43608 05 0.000 0.000 1 1 1 1.048658 14.39151 562 0 SAMAMB-DF345-SAMAT5-D 43607 SAMAT5-DF000
234 237 43610 06 0.000 0.000 1 1 1 0.911565 14.38280 562 0 SAMAMB-DF345-SAMAT6-D 43609 SAMAT6-DF000
234 237 43612 07 0.000 0.000 1 1 1 1.051876 14.36271 562 0 SAMAMB-DF345-SAMAT7-D 43611 SAMAT7-DF000
235 36 0 01 0.000 0.000 1 1 0 0.000000 0.00000 511 0 S.MESA-GO500-S.MESAUH  
235 37 0 01 0.000 0.000 1 1 0 0.000000 0.00000 511 0 S.MESA-GO500-S.MESASI  
249 7086 0 01 0.000 0.000 1 1 0 0.000000 0.00000 517 0 RCLARO-GO138-RCLARO-G  
251 250 0 01 0.000 0.000 1 1 0 0.000000 0.00000 255 0 N.PECA-RJ138-NPECA2UH  
251 44323 0 01 0.000 0.000 1 1 0 0.000000 0.00000 255 0 N.PECA-RJ138-NPECA1UH  
252 251 0 32 0.000 0.000 1 1 0 0.000000 0.00000 253 0 N.PECA-RJ230-N.PECA-R  
254 253 0 01 0.000 0.000 1 1 0 0.000000 0.00000 255 0 FONTES-RJ138-FONTE2UH  
254 44322 0 01 0.000 0.000 1 1 0 0.000000 0.00000 255 0 FONTES-RJ138-FONTE1UH  
256 255 0 01 0.000 0.000 1 1 0 0.000000 0.00000 255 0 PPASSO-RJ138-PPASSOUH  
258 257 0 01 0.000 0.000 1 1 0 0.000000 0.00000 257 0 I.POMB-RJ138-I.POMBUH  
260 259 0 01 0.000 0.000 1 1 0 0.000000 0.00000 255 0 S.CEC-PCH138-SCECIL-R  
262 261 0 01 0.000 0.000 1 1 0 0.000000 0.00000 255 0 VIGARI-RJ138-VIGARI-R  
269 3972 0 01 0.000 0.000 1 1 0 0.000000 0.00000 255 0 CSN---UTE002-CSNINT-R  
308 309 42035 01 0.000 0.000 1 1 1 1.027262 -10.16564 352 0 BARBAC-MG345-BAR2T1-M 42034 BAR2T1-MG000
313 314 45529 02 0.000 0.000 1 1 1 1.038125 -5.04729 352 0 BARREI-MG345-BARRE2-M 316 BARRE2-MG000
313 314 42044 01 0.000 0.000 1 1 1 1.038125 -5.04731 352 0 BARREI-MG345-BARRE1-M 1574 BARRE1-MG000
313 314 42048 05 0.000 0.000 1 1 1 0.995267 -5.06190 352 0 BARREI-MG345-BARRE5-M 42047 BARRE5-MG000
313 314 42050 06 0.000 0.000 1 1 1 0.996107 -5.02516 352 0 BARREI-MG345-BARRE6-M 42049 BARRE6-MG000
314 315 0 03 0.000 0.000 1 1 0 0.000000 0.00000 354 0 BARREI-MG138-BARRE-SI  
319 9009 42063 04 0.000 0.000 1 1 1 1.028338 1.76300 353 0 CPENA--MG230-CPENA4-M 9008 CPENA4-MG000
319 9014 42065 05 0.000 0.000 1 1 1 1.031594 4.24926 353 0 CPENA--MG230-CPENA5-M 42064 CPENA5-MG000
320 300 0 01 0.000 0.000 1 1 0 0.000000 0.00000 351 0 EMBORC-MG500-EMBORCUH  
320 9034 0 01 0.000 0.000 1 1 0 0.000000 0.00000 351 0 EMBORC-MG500-EMBORCSI  
320 321 42079 06 0.000 0.000 1 1 1 1.019537 3.18683 351 0 EMBORC-MG500-EMBOR6-M 42078 EMBOR6-MG000
320 321 42081 07 0.000 0.000 1 1 1 1.019516 3.18249 351 0 EMBORC-MG500-EMBOR7-M 42080 EMBOR7-MG000
320 321 42083 10 0.000 0.000 1 1 1 1.019970 3.27697 351 0 EMBORC-MG500-EMBO10-M 42082 EMBO10-MG000
323 7442 42097 01 0.000 0.000 1 1 1 0.930687 -11.70873 359 0 ITUTIN-MG138-ITUTI1-M 42096 ITUTI1-MG000
323 7442 42099 02 0.000 0.000 1 1 1 1.088593 -11.66011 359 0 ITUTIN-MG138-ITUTI2-M 42098 ITUTI2-MG000
324 344 345 03 0.000 0.000 1 1 1 0.998558 2.83127 351 0 MSQ-T3-MG013-MESQU3-M 1591 MESQU3-MG000
325 326 42101 11 0.000 0.000 1 1 1 1.001919 -4.52536 351 0 JAGUAR-MG500-JAGR11-M 42100 JAGR11-MG000
325 326 42103 12 0.000 0.000 1 1 1 0.997461 -4.44900 351 0 JAGUAR-MG500-JAGR12-M 42102 JAGR12-MG000
325 326 42105 13 0.000 0.000 1 1 1 1.001919 -4.52536 351 0 JAGUAR-MG500-JAGR13-M 42104 JAGR13-MG000
326 301 0 01 0.000 0.000 1 1 0 0.000000 0.00000 352 0 JAGUAR-MG345-JAGUARUH  
326 330 42183 07 0.000 0.000 1 1 1 0.998117 -4.50146 352 0 JAGUAR-MG345-JAGUT7-M 42182 JAGUT7-MG000
326 330 42185 08 0.000 0.000 1 1 1 0.998117 -4.50146 352 0 JAGUAR-MG345-JAGUT8-M 42184 JAGUT8-MG000
327 317 0 01 0.000 0.000 1 1 0 0.000000 0.00000 355 0 SOBRAG-MG138-SOBRAGUH  
329 344 345 02 0.000 0.000 1 1 1 0.998660 2.81671 351 0 MSQ-T2-MG013-MESQU2-M 1590 MESQU2-MG000
331 332 42235 06 0.000 0.000 1 1 1 1.023981 -9.15798 352 0 J.FORA-MG345-JFORT6-M 42234 JFORT6-MG000
331 332 42237 07 0.000 0.000 1 1 1 1.022062 -9.16873 352 0 J.FORA-MG345-JFORT7-M 42236 JFORT7-MG000
336 337 9097 06 0.000 0.000 1 1 1 1.045387 -7.99645 352 0 LAFAIE-MG345-LAF-T6-M 4089 LAF-T6-MG000
336 337 338 03 0.000 0.000 1 1 1 1.045388 -7.99650 352 0 LAFAIE-MG345-LAF-T3-M 4318 LAF-T3-MG000
336 337 339 04 0.000 0.000 1 1 1 1.045516 -7.97664 352 0 LAFAIE-MG345-LAF-T4-M 4319 LAF-T4-MG000
340 312 0 01 0.000 0.000 1 1 0 0.000000 0.00000 358 0 MIRAND-MG138-MIRANDUH  
341 342 42111 03 0.000 0.000 1 1 1 1.034491 13.90968 352 0 MCLARO-MG345-MCLAR3-M 42110 MCLAR3-MG000
341 342 42113 04 0.000 0.000 1 1 1 1.043167 13.85986 352 0 MCLARO-MG345-MCLAR4-M 42112 MCLAR4-MG000
341 342 42115 05 0.000 0.000 1 1 1 0.993690 13.13251 352 0 MCLARO-MG345-MCLAR5-M 42114 MCLAR5-MG000
344 345 346 01 0.000 0.000 1 1 1 0.999372 2.82757 351 0 MESQUI-MG500-MESQU1-M 1589 MESQU1-MG000
344 345 1547 04 0.000 0.000 1 1 1 0.998854 2.79040 351 0 MESQUI-MG500-MESQU4-M 1593 MESQU4-MG000
348 394 42139 01 0.000 0.000 1 1 1 1.032598 3.99668 357 0 VALADAPCH138-VALAD1-M 347 VALAD1-MG000
348 394 42141 03 0.000 0.000 1 1 1 1.032712 3.99075 357 0 VALADAPCH138-VALAD3-M 383 VALAD3-MG000
348 394 42140 02 0.000 0.000 1 1 1 1.032598 3.99668 357 0 VALADAPCH138-VALAD2-M 1498 VALAD2-MG000
